ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
894,CHARMM36m,SDPC (1),303.15,46.0,2.0745,0.7886,0.7886,
900,CHARMM36m,SDPC (1),303.15,48.0,2.1746,0.7835,0.7836,
899,CHARMM36m,SDPC (1),303.15,48.0,2.0745,0.7807,0.7808,
901,CHARMM36m,SDPC (1),303.15,46.0,2.1746,0.7792,0.7792,
