ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
904,CHARMM36m,SD5PC (1),303.15,48.0,,0.4258,0.4258,
905,CHARMM36m,SD5PC (1),303.15,48.0,,0.4232,0.4232,
