# 4'
M_G2C5_M   M_G2C5H1_M   -0.139
M_G2C5_M   M_G2C5H2_M   -0.139

# 5'
M_G2C6_M   M_G2C6H1_M   -0.120
M_G2C6_M   M_G2C6H2_M   -0.120

# 6'
M_G2C7_M   M_G2C7H1_M   -0.083
# 7'
M_G2C8_M   M_G2C8H1_M   -0.042
# 8'
M_G2C9_M   M_G2C9H1_M   -0.005
M_G2C9_M   M_G2C9H2_M   -0.000
# 9'
M_G2C10_M  M_G2C10H1_M  -0.038
# 10'
M_G2C11_M  M_G2C11H1_M  -0.029
# 11'
M_G2C12_M  M_G2C12H1_M  -0.075
M_G2C12_M  M_G2C12H2_M  -0.075
# 14'
M_G2C15_M  M_G2C15H1_M  -0.114
M_G2C15_M  M_G2C15H2_M  -0.114
# 18'
M_G2C19_M  M_G2C19H1_M  -0.025
M_G2C19_M  M_G2C19H2_M  -0.025
M_G2C19_M  M_G2C19H3_M  -0.025
