M_N1C2_M M_N1C2H1_M -0.207
M_N1C2_M M_N1C2H2_M -0.148
M_N1C3_M M_N1C3H1_M -0.258
M_N1C3_M M_N1C3H2_M -0.258
M_N1C4_M M_N1C4H1_M -0.247
M_N1C4_M M_N1C4H2_M -0.247
M_N1C5_M M_N1C5H1_M -0.242
M_N1C5_M M_N1C5H2_M -0.242
M_N1C6_M M_N1C6H1_M -0.237
M_N1C6_M M_N1C6H2_M -0.237
M_N1C7_M M_N1C7H1_M -0.231
M_N1C7_M M_N1C7H2_M -0.231
M_N1C8_M M_N1C8H1_M -0.224
M_N1C8_M M_N1C8H2_M -0.224
M_N1C9_M M_N1C9H1_M -0.212
M_N1C9_M M_N1C9H2_M -0.212
M_N1C10_M M_N1C10H1_M -0.203
M_N1C10_M M_N1C10H2_M -0.203
M_N1C11_M M_N1C11H1_M -0.193
M_N1C11_M M_N1C11H2_M -0.193
M_N1C12_M M_N1C12H1_M -0.175
M_N1C12_M M_N1C12H2_M -0.175
M_N1C13_M M_N1C13H1_M -0.161
M_N1C13_M M_N1C13H2_M -0.161
M_N1C14_M M_N1C14H1_M -0.130
M_N1C14_M M_N1C14H2_M -0.130
M_N1C15_M M_N1C15H1_M -0.103
M_N1C15_M M_N1C15H2_M -0.103
M_N1C16_M M_N1C16H1_M -0.020
M_N1C16_M M_N1C16H2_M -0.020
M_N1C16_M M_N1C16H3_M -0.020
  
